"日本文","英文"
"セーフティボックスを使うには暗証番号を入力してロックボタンを押してください。","To use the safe, enter your code and press the lock button."
"ミニバーは冷蔵庫の中にあります。","The minibar is inside the refrigerator."
"こちらのお水は無料です。","These bottles of water are complimentary."
"電気ケトルとお茶はこちらにございます。","The electric kettle and tea are here."
"タオルはバスルームにございます。","The towels are in the bathroom."
"追加のタオルが必要でしたらお知らせください。","Please let us know if you need extra towels."
"必要なアメニティはすべて揃っていますか？","Do you have all the amenities you need?"
"エアコンの操作パネルはこちらです。","Here is the air-conditioning control panel."
"こちらで室温を調節できます。","You can adjust the room temperature here."
"このボタンでカーテンを開閉できます。","You can open and close the curtains with this button."
"非常口は廊下の突き当たりにございます。","The emergency exit is at the end of the hallway."
"何か必要でしたらフロントまでお電話ください。","If you need anything, please call the front desk."
"2名様のお席でよろしいですか？","Would you like a table for two?"
"どちらのお名前でご予約されていますか？","What name is your reservation under?"
"朝食ビュッフェはこちらです。","The breakfast buffet is over here."
"コーヒーと紅茶のどちらになさいますか？","Would you like coffee or tea?"
"食物アレルギーはございますか？","Do you have any food allergies?"
"ベジタリアンメニューもございます。","We also have a vegetarian menu."
"ラストオーダーは午後9時30分です。","Last order is at 9:30 p.m."
"お部屋付けになさいますか？","Would you like to charge this to your room?"
"お部屋付けの場合はこちらにサインをお願いします。","Please sign here for the room charge."
"どうぞお食事をお楽しみください。","Please enjoy your meal."
"お電話ありがとうございます。ABCホテルでございます。","Thank you for calling ABC Hotel."
"どのようなご用件でしょうか？","How may I help you?"
"ご宿泊日はいつでしょうか？","What date would you like to stay?"
"何名様でのご宿泊ですか？","How many guests will be staying?"
"どのタイプのお部屋をご希望ですか？","What type of room would you prefer?"
"ツインルームに空きがございます。","We have a twin room available."
"料金には朝食が含まれています。","The room rate includes breakfast."
"前日の午後6時までであれば無料でキャンセルできます。","You can cancel without charge until 6 p.m. the day before."
"メールアドレスを伺ってもよろしいですか？","May I have your email address?"
"こちらが予約確認番号です。","Here is your confirmation number."
"エアコンを確認する係の者を向かわせます。","I'll send someone to check the air conditioner."
"追加の毛布をお持ちします。","I'll bring you an extra blanket."
"騒音について大変申し訳ございません。","We are very sorry for the noise."
"新しいカードキーをお作りします。","I'll make you a new key card."
"医師をお呼びしましょうか？","Would you like me to call a doctor?"
"ホテルの近くにはいくつか人気の観光スポットがあります。","There are several popular attractions near the hotel."
"そのお寺へはバスで約15分です。","It takes about fifteen minutes by bus."
"観光ツアーのチケットはフロントで購入できます。","You can buy sightseeing tour tickets at the front desk."
"雨の日でしたら、この博物館がおすすめです。","I recommend this museum on a rainy day."
"地図か道案内は必要ですか？","Do you need a map or directions?"
